object 0 
a 1.676772 
b 1.590226 
c 1.738158 
d 1.697912 
e 1.667839 
f 1.895890 
g 1.483505 
h 1.463344 
i 1.822356 
j 1.694494 
k  1.655679 
l  1.381311 
m  1.383517 
n  1.394546 
o  1.407820 
p  1.650180 
q  1.374550 
r  1.755786 
s  1.655567 
t  1.526809 
u  1.518957 
v  1.792683 
w  1.713340 
x  1.412386 
y  1.402509 
z  1.575844 
aa 1.490034 
ab 1.428107 
ac 1.585657 
ad 1.334621
